"guildID","userID","globalPoints","weeklyPoints","uLevel"
"1026557557030006855","1442989250546241558",236,79,4
"1026557557030006855","730799755847794689",235,1,4
"1026557557030006855","648994646927605772",234,78,4
"1026557557030006855","1145425736056975400",231,0,4
"1026557557030006855","1279225334159642675",230,77,4
"1026557557030006855","995514921968205934",226,0,4
"1026557557030006855","945391956832444477",225,0,4
"1026557557030006855","622956212320731136",222,74,4
"1026557557030006855","1008326057931329556",219,27,4
"1026557557030006855","1218940009701445783",217,0,4
"1026557557030006855","1146057973332983878",217,0,4
"1026557557030006855","767655354053689365",211,7,3
"1026557557030006855","1141860301327847444",199,0,3
"1026557557030006855","1356471285462466681",198,66,3
"1026557557030006855","1166780821278035988",196,64,3
"1026557557030006855","1291895914260201563",195,0,3
"1026557557030006855","823286621305962566",189,1,3
"1026557557030006855","1276717626420105278",187,0,3
"1026557557030006855","1056201542413340754",187,0,3
"1026557557030006855","1202000676776067182",186,0,3
"1026557557030006855","1100427907693813811",175,8,3
"1026557557030006855","1006238692526010468",175,0,3
"1026557557030006855","1258679508761055265",172,0,3
"1026557557030006855","1202345681680080896",168,56,3
"1026557557030006855","1367626236914044960",166,0,3
"1026557557030006855","1101323286866038898",166,0,3
"1026557557030006855","1069371897504083998",165,55,3
"1026557557030006855","1185784541097504798",162,9,3
"1026557557030006855","855644345843318794",161,0,3
"1026557557030006855","597755258663600132",159,38,3
"1026557557030006855","1107453937180758036",154,53,3
"1026557557030006855","884635128830242816",153,0,3
"1026557557030006855","639962540079579157",152,0,3
"1026557557030006855","831737626277052425",151,0,3
"1026557557030006855","846519167787597834",150,50,3
"1026557557030006855","1299896211179835392",149,0,3
"1026557557030006855","1175217545301721169",148,6,3
"1026557557030006855","1100132182674124940",147,49,3
"1026557557030006855","1213387077820092448",147,22,3
"1026557557030006855","1311102389800927293",145,1,3
"1026557557030006855","753076073289220188",145,5,3
"1026557557030006855","603063797871280139",141,47,3
"1026557557030006855","1176588040504877116",139,0,3
"1026557557030006855","820045655925850133",137,0,3
"1026557557030006855","872309497392168961",135,0,3
"1026557557030006855","1314380780507627631",132,44,3
"1026557557030006855","876584393039286332",130,0,3
"1026557557030006855","1070646272085737513",129,43,3
"1026557557030006855","1229319483277971477",129,0,3
"1026557557030006855","719424345180602418",126,0,3
"1026557557030006855","658599323264745483",124,0,3
"1026557557030006855","945996436930187284",124,4,3
"1026557557030006855","1211409067621486742",124,0,3
"1026557557030006855","1384713579713794113",123,4,3
"1026557557030006855","1252795634289868878",123,42,3
"1026557557030006855","368901811702202368",121,0,3
"1026557557030006855","1014315434390077583",119,0,3
"1026557557030006855","1026215830486269972",118,0,3
"1026557557030006855","1022310344829440090",115,0,3
"1026557557030006855","1262124592764293152",115,13,3
"1026557557030006855","1362283314752262146",113,38,2
"1026557557030006855","999391477119602741",112,0,2
"1026557557030006855","772720819277135873",112,0,2
"1026557557030006855","906014002814013480",111,0,2
"1026557557030006855","863411335055015936",110,0,2
"1026557557030006855","1251299768706011146",109,0,2
"1026557557030006855","1085340647021621278",109,0,2
"1026557557030006855","1061726854479888515",108,8,2
"1026557557030006855","1080284514464575548",106,0,2
"1026557557030006855","1197805017529319504",105,0,2
"1026557557030006855","1401800011343331419",105,0,2
"1026557557030006855","1320038487692541994",105,35,2
"1026557557030006855","1439267660721426674",103,35,2
"1026557557030006855","773781242898415628",102,0,2
"1026557557030006855","689967219719143447",102,34,2
"1026557557030006855","1236720956131639296",99,33,2
"1026557557030006855","1195564889322827786",99,33,2
"1026557557030006855","728685026643804322",98,33,2
"1026557557030006855","1221571125562183780",97,0,2
"1026557557030006855","1040942714423877683",94,0,2
